LATITUDE,LONGITUDE,ELEVATION,TMAX
41.91444,-88.24639,229.8,27.1
38.0281,-122.7022,378,58.4
42.5503,-84.8258,274.9,28.3
47.8205,-112.1921,1172,41.8
33.5872,-85.8556,181.1,54.5
41.657,-69.9592,12.2,39.3
33.56556,-86.745,187.5,54.5
33.948,-83.3275,239.3,55.2
43.4583,-89.7269,250.9,24.6
30.0969,-94.0997,6.1,63.3
36.6687,-81.9646,586.7,45
37.7836,-81.123,766.3,38.4
33.8647,-117.8425,71.6,69.9
46.16944,-90.98083,456.6,16.8
44.4535,-71.18552,280.4,25.2
44.5972,-104.4275,1609.3,35.9
39.45202,-74.56699,18.3,42.1
42.065,-94.85,378,29.1
38.1374,-78.4552,195.1,45.5
30.095,-98.4142,399.3,61
39.2774,-120.7102,1608.1,47.2
39.13333,-86.61667,257.3,37.6
34.73258,-76.65659,2.4,54.6
32.5158,-104.3828,979.3,57.9
45.0716,-83.5644,208.5,24.2
48.31,-116.07,1645.9,30.8
41.995,-87.9336,201.8,27.5
42.6324,-72.1227,260.6,31.7
45.788,-111.1608,1349.3,34.2
44.3003,-90.835,255.4,22.8
48.5353,-118.6889,990.6,35.6
36.53938,-93.1998,392,43.1
34.5697,-93.1947,129.8,49.4
36.7944,-113.7567,2158,40.1
38.5428,-107.6869,2609.1,33.8
41.58,-120.3,2142.7,38.8
38.5908,-120.9336,275.8,59.7
43.95,-110.45,2142.7,27.9
47.71,-123.46,1484.4,42.6
40.6118,-116.8917,1373.1,49.8
43.7383,-116.2022,1184.1,39.8
41.05,-107.27,2267.7,33.8
43.3208,-122.1067,1473.4,47.5
46.87,-121.53,1597.2,36.9
43.74,-113.94,2407.9,33.3
42.5769,-121.8936,1347.2,43.6
40.93408,-72.73959,21.3,39.3
35.1161,-93.6506,129.8,49.5
38.0394,-122.57,457.2,55.4
43.9772,-113.8288,1908,32.7
42.6508,-88.2544,228.9,25.2
36.6213,-78.5506,100.6,50.8
43.4052,-108.1633,1485.9,23.4
35.7426,-78.8369,137.2,52.8
29.6617,-96.2597,12.5,63.3
39.42387,-85.01445,192,37.7
44.3271,-91.9194,204.2,24.4
25.3903,-80.6803,1.5,77.3
33.3952,-87.0077,135.6,56
38.3083,-113.3847,1713,38.4
39.3975,-121.3861,244.8,58.9
42.7338,-76.6591,253,29.4
39.2682,-80.3522,301.8,40.8
34.125,-118.4122,384,66.3
37.01029,-102.55367,1251.2,49.9
45.8,-112.52,2188.5,34.7
42.9327,-76.5447,234.7,29.5
43.4621,-113.556,1804.4,27
41.2769,-121.9794,975.4,49.7
44.3231,-119.7669,1798.3,38.4
33.7411,-95.9219,243.8,53.2
40.8143,-85.1546,262.4,32
30.5872,-84.9886,30.5,64.9
39.24472,-102.28417,1277.7,46.9
44.35447,-106.69937,1414,38.4
39.4575,-98.1125,424,37.3
35.4322,-84.5833,286.5,49.6
41.0232,-100.367,808,39.8
39.0294,-104.8018,2120.5,43.9
43.4361,-75.3697,472.4,22.9
45.6729,-111.1547,1455.4,34.7
46.3047,-96.5216,296,15.4
42.2123,-71.1137,190.5,35.4
44.5933,-119.2778,1524,41.8
37.68,-112.86,3039.5,31.6
34.77,-84.5833,609.6,52.6
47.2472,-91.8624,452.9,12.7
40.1867,-123.5903,281.3,55.4
41.6847,-116.7644,1664.2,38.7
40.0017,-120.915,1377.7,47.5
47.0167,-105.8167,975.4,34
36.64492,-94.48552,340.5,44.3
45.60444,-103.54639,915.6,33.8
39.46,-119.94,2514.3,39.5
44.8019,-86.0508,289.9,24.9
48.5617,-113.0133,1336.2,38.6
38.3,-112.36,3154.4,33
40.0686,-121.5825,1466.7,47.2
33.19083,-102.26806,1005.8,55.1
33.98,-109.5,2781.3,44.8
42.7,-124.0333,1106.4,49.3
45.0553,-105.9483,1197.9,36.3
44.38139,-106.72111,1513.9,40.7
41.49139,-120.56444,1333.5,45.9
42.2611,-90.4231,183.8,26.4
30.6222,-98.0846,414.8,58.4
35.8201,-91.7812,138.7,47.3
33.8338,-101.8436,1026.6,54.4
42.41,-122.27,1609.3,42.3
40.4644,-111.7708,1545.3,38
29.73333,-85.03333,5.8,62.6
31.258,-95.9744,97.5,57.5
34.14,-87.3622,245.1,51.3
